lon,lat,ve,vn,ee,en,site,yrs,t_start_end,network
5.6836,50.7582,-0.2,0.2,0.09,0.12,EIJS,19.51,2000.00-2019.51,EUREF
25.9004,42.9305,-0.2,-0.5,0.17,0.25,ELEN,5.36,2014.15-2019.51,BULGARIA
26.5832,42.177,-1.3,-0.7,0.3,0.32,ELH1,6.86,2012.65-2019.51,BULGARIA
0.9757,42.6936,0.2,0.2,0.1,0.12,ESCO,19.5,2000.01-2019.51,EUREF
20.6186,38.754,-6.13,-9.85,0.9,0.59,EXAN,3.61,2015.90-2019.50,CRL
21.9284,38.4268,-12.91,-12.21,0.14,0.17,EYPA,17.72,2001.79-2019.51,CRL
17.359,40.8348,1.1,4.3,0.12,0.11,FASA,12.29,2007.22-2019.51,PUGLIA
16.4548,40.5087,0.8,5.2,0.18,0.34,FENA,7.46,2012.05-2019.51,NETGEO
20.5771,38.4597,-7.11,-12.21,0.37,0.75,FISK,3.61,2015.90-2019.51,CRL
21.4017,40.7799,0.94,-4.7,0.33,0.33,FLOR,5.25,2014.26-2019.52,METRICA
25.3152,42.889,0.1,-1.3,0.14,0.19,GABR,10.07,2009.44-2019.51,BULGARIA
20.571,39.3506,-2.92,-0.2,0.41,0.58,GARD,3.61,2015.55-2019.17,URANUS
23.7342,41.5661,1.0,-3.5,0.29,0.47,GDE1,5.47,2014.04-2019.51,BULGARIA
21.7664,38.3341,-12.49,-12.41,0.19,0.26,GEYB,7.77,2011.74-2019.51,CRL
16.7578,40.578,1.5,4.1,0.12,0.12,GINO,12.29,2007.22-2019.51,PUGLIA
18.43,40.1244,1.0,3.9,0.09,0.09,GIUR,12.29,2007.22-2019.51,PUGLIA
20.4602,44.0246,0.7,-0.2,0.19,0.18,GMIL,9.39,2010.11-2019.50,AGROS
19.2128,42.5675,0.1,1.6,0.14,0.21,GMME,10.66,2008.83-2019.49,MONTENEGRO
28.9872,44.6753,0.81,0.3,0.29,0.26,GPOR,6.14,2013.37-2019.51,NIEP
20.1846,40.8688,-1.26,-0.9,0.29,0.28,GRA2,4.21,2015.22-2019.43,ALBPOS
21.4381,40.0847,0.36,-4.8,0.17,0.2,GREV,5.56,2013.96-2019.52,METRICA
20.7525,44.6423,0.3,-0.2,0.19,0.28,GROC,11.21,2008.28-2019.50,AGROS
23.6025,38.4654,-14.01,-23.52,0.19,0.22,HALK,8.83,2010.68-2019.52,METRICA
25.9165,41.9235,0.2,-0.4,0.21,0.23,HARM,8.69,2010.82-2019.51,BULGARIA
25.1415,35.3241,-16.41,-27.12,0.17,0.24,HERA,8.83,2010.68-2019.51,METRICA
19.7582,40.0889,-1.4,1.9,0.45,0.59,HIMA,4.54,2014.97-2019.51,ALBANIA
28.7702,44.5471,-0.5,-0.4,0.14,0.17,HIST,5.93,2013.58-2019.51,NIEP
25.5617,41.931,0.0,-1.0,0.16,0.2,HSKO,4.91,2014.59-2019.51,BULGARIA
25.7972,35.0531,-16.58,-27.62,0.4,0.33,IERA,9.02,2010.49-2019.52,METRICA
20.2627,39.51,-2.77,0.28,0.28,0.23,IGOU,5.56,2013.96-2019.52,METRICA
20.8505,39.6641,-1.8,-3.3,0.31,0.3,IOAN,8.54,2010.97-2019.52,METRICA
26.8309,43.7214,0.0,-0.3,0.21,0.2,ISPE,4.77,2014.73-2019.51,BULGARIA
29.0193,41.1044,-0.1,-1.9,0.14,0.13,ISTA,19.51,2000.00-2019.51,EUREF
23.1519,38.956,-8.81,-16.51,0.17,0.21,ISTI,5.56,2013.96-2019.52,METRICA
22.4302,38.431,-13.61,-16.81,0.25,0.21,ITEA,7.51,2012.00-2019.52,METRICA
20.2302,43.581,1.1,0.0,0.12,0.15,IVAN,11.21,2008.28-2019.50,AGROS
21.0315,52.0973,0.0,0.1,0.1,0.11,JOZE,19.51,2000.00-2019.51,EUREF
22.8569,40.6419,2.1,-8.21,0.37,0.33,KAL1,3.94,2013.89-2017.83,METRICA
22.8485,40.6428,0.3,-7.91,0.44,0.26,KAL2,3.93,2013.90-2017.83,METRICA
22.1114,37.0337,-19.91,-26.64,0.19,0.21,KALM,8.68,2010.84-2019.52,METRICA
26.9761,36.9558,-16.31,-26.42,0.26,0.35,KALY,6.45,2013.06-2019.52,METRICA
21.5786,42.5813,1.6,-2.2,0.18,0.18,KAME,6.51,2013.00-2019.51,KOPOS
25.3846,41.6467,-1.2,-1.9,0.17,0.2,KAR2,9.33,2010.18-2019.51,BULGARIA
8.4113,49.0112,0.3,0.2,0.1,0.12,KARL,19.51,2000.00-2019.51,EUREF
21.8029,38.9119,-8.19,-9.21,0.33,0.32,KARP,8.07,2011.45-2019.52,METRICA
19.9355,39.7464,-3.4,0.0,0.18,0.18,KASI,10.1,2007.25-2017.34,NOA
21.2632,40.5231,0.9,-3.7,0.24,0.19,KAST,7.84,2011.67-2019.52,METRICA
22.5213,40.2701,1.0,-8.21,0.15,0.18,KATE,9.59,2009.92-2019.52,METRICA
28.3508,43.4389,-0.6,-0.5,0.29,0.27,KAV0,4.86,2014.60-2019.46,BULGARIA
28.3374,43.4334,0.1,-0.5,0.22,0.26,KAV2,6.46,2013.01-2019.47,BULGARIA
24.3873,40.9338,0.6,-3.9,0.14,0.2,KAVA,8.83,2010.69-2019.52,METRICA
19.8734,39.4937,-2.2,0.7,0.27,0.3,KERK,3.69,2015.94-2019.62,METRICA
20.9595,41.509,1.9,-3.0,0.2,0.16,KICE,10.23,2009.00-2019.23,MAKPOS
20.3483,38.2032,-5.1,-4.31,0.46,0.33,KIPO,7.96,2010.68-2018.64,NOA
22.6129,44.6104,0.1,-1.4,0.13,0.13,KLAD,11.21,2008.28-2019.50,AGROS
22.0144,39.5647,-2.8,-8.31,0.14,0.12,KLOK,10.97,2008.54-2019.51,NOA
22.2553,43.5665,0.5,-1.4,0.14,0.16,KNJA,11.21,2008.28-2019.50,AGROS
21.8182,37.2895,-20.31,-26.62,0.26,0.26,KOPA,5.18,2014.33-2019.52,METRICA
20.7728,40.624,-1.0,-1.9,0.38,0.3,KOR2,4.21,2015.22-2019.43,ALBPOS
